fecha,ccaa,perc_total
2021-03-30T22:00:00000Z,Andalucía,0.132
2021-03-31T22:00:00000Z,Andalucía,0.13699999999999998
2021-04-02T22:00:00000Z,Andalucía,0.139
2021-04-04T22:00:00000Z,Andalucía,0.141
2021-04-05T22:00:00000Z,Andalucía,0.146
2021-04-06T22:00:00000Z,Andalucía,0.155
2021-04-07T22:00:00000Z,Andalucía,0.165
2021-04-08T22:00:00000Z,Andalucía,0.17600000000000002
2021-04-11T22:00:00000Z,Andalucía,0.188
2021-04-12T22:00:00000Z,Andalucía,0.193
2021-04-13T22:00:00000Z,Andalucía,0.201
2021-04-14T22:00:00000Z,Andalucía,0.21
2021-04-15T22:00:00000Z,Andalucía,0.21899999999999997
2021-04-18T22:00:00000Z,Andalucía,0.228
2021-04-19T22:00:00000Z,Andalucía,0.228
2021-04-20T22:00:00000Z,Andalucía,0.23800000000000002
2021-04-21T22:00:00000Z,Andalucía,0.243
2021-04-22T22:00:00000Z,Andalucía,0.252
2021-04-25T22:00:00000Z,Andalucía,0.26
2021-04-26T22:00:00000Z,Andalucía,0.264
2021-04-27T22:00:00000Z,Andalucía,0.26899999999999996
2021-04-28T22:00:00000Z,Andalucía,0.27699999999999997
2021-04-29T22:00:00000Z,Andalucía,0.28
2021-05-02T22:00:00000Z,Andalucía,0.29100000000000004
2021-05-03T22:00:00000Z,Andalucía,0.295
2021-05-04T22:00:00000Z,Andalucía,0.301
2021-05-05T22:00:00000Z,Andalucía,0.309
2021-05-06T22:00:00000Z,Andalucía,0.317
2021-05-09T22:00:00000Z,Andalucía,0.326
2021-05-10T22:00:00000Z,Andalucía,0.332
2021-05-11T22:00:00000Z,Andalucía,0.34
2021-05-12T22:00:00000Z,Andalucía,0.34600000000000003
2021-05-13T22:00:00000Z,Andalucía,0.353
2021-05-16T22:00:00000Z,Andalucía,0.365
2021-05-17T22:00:00000Z,Andalucía,0.371
2021-05-18T22:00:00000Z,Andalucía,0.379
2021-05-19T22:00:00000Z,Andalucía,0.38799999999999996
2021-05-20T22:00:00000Z,Andalucía,0.397
2021-05-23T22:00:00000Z,Andalucía,0.406
2021-05-24T22:00:00000Z,Andalucía,0.41100000000000003
2021-05-25T22:00:00000Z,Andalucía,0.418
2021-05-26T22:00:00000Z,Andalucía,0.42700000000000005
2021-05-27T22:00:00000Z,Andalucía,0.434
2021-05-30T22:00:00000Z,Andalucía,0.442
2021-05-31T22:00:00000Z,Andalucía,0.447
2021-06-01T22:00:00000Z,Andalucía,0.455
2021-06-02T22:00:00000Z,Andalucía,0.46299999999999997
2021-03-30T22:00:00000Z,Aragón,0.142
2021-03-31T22:00:00000Z,Aragón,0.146
2021-04-02T22:00:00000Z,Aragón,0.149
2021-04-04T22:00:00000Z,Aragón,0.149
2021-04-05T22:00:00000Z,Aragón,0.153
2021-04-06T22:00:00000Z,Aragón,0.158
2021-04-07T22:00:00000Z,Aragón,0.168
2021-04-08T22:00:00000Z,Aragón,0.17800000000000002
2021-04-11T22:00:00000Z,Aragón,0.18600000000000003
2021-04-12T22:00:00000Z,Aragón,0.193
2021-04-13T22:00:00000Z,Aragón,0.20199999999999999
2021-04-14T22:00:00000Z,Aragón,0.215
2021-04-15T22:00:00000Z,Aragón,0.23600000000000002
2021-04-18T22:00:00000Z,Aragón,0.247
2021-04-19T22:00:00000Z,Aragón,0.254
2021-04-20T22:00:00000Z,Aragón,0.263
2021-04-21T22:00:00000Z,Aragón,0.27899999999999997
2021-04-22T22:00:00000Z,Aragón,0.294
2021-04-25T22:00:00000Z,Aragón,0.298
2021-04-26T22:00:00000Z,Aragón,0.303
2021-04-27T22:00:00000Z,Aragón,0.31
2021-04-28T22:00:00000Z,Aragón,0.322
2021-04-29T22:00:00000Z,Aragón,0.33299999999999996
2021-05-02T22:00:00000Z,Aragón,0.34299999999999997
