ccaa,fecha,cases_50to59,cases_60to69,cases_70to79,cases_above80,cases_under50,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
Cantabria,2021-12-31,133,80,56,41,788,0,0,0,0,0,8,2,4,6,7,0,0,0,1,0
Baleares,2021-12-31,308,115,47,29,1564,0,0,0,1,3,6,4,6,5,8,1,0,1,0,0
Asturias,2021-12-31,298,136,94,35,1489,0,0,0,2,3,5,2,7,3,12,0,0,0,0,0
no_ccaa,2021-12-31,31,21,1,3,186,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
Navarra,2021-12-31,725,232,174,147,3132,0,0,0,0,1,3,4,4,3,2,1,2,0,0,0
Murcia,2021-12-31,322,158,80,36,1580,0,0,0,1,2,9,7,8,7,9,1,2,0,1,0
Melilla,2021-12-31,11,7,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-12-31,1087,530,252,249,5003,0,0,1,0,1,53,30,41,26,50,3,2,5,4,1
La Rioja,2021-12-31,265,112,59,48,999,0,0,0,1,1,0,2,3,2,9,0,0,0,0,0
Aragón,2021-12-31,806,327,191,130,3221,0,0,2,1,0,10,6,9,3,13,1,1,1,0,0
Canarias,2021-12-31,502,263,110,61,2493,0,1,0,0,2,4,3,5,5,18,1,0,1,1,0
Ceuta,2021-12-31,17,5,1,2,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Galicia,2021-12-31,771,392,284,193,6338,0,2,0,0,2,15,5,8,7,12,1,0,3,1,0
País Vasco,2021-12-31,1768,711,362,291,8186,0,2,2,3,4,4,9,6,6,16,1,1,2,2,0
Extremadura,2021-12-31,351,117,78,51,1523,0,0,0,0,1,3,4,4,4,7,0,1,2,1,0
Cataluña,2021-12-31,3534,1401,805,556,15264,0,2,2,3,15,13,3,9,11,22,1,1,1,0,0
C.León,2021-12-31,922,390,221,207,3905,0,1,1,1,3,5,6,6,7,32,1,2,0,2,1
Andalucía,2021-12-31,2049,902,392,290,9761,0,0,1,3,5,32,20,19,14,25,3,0,3,3,0
C.Mancha,2021-12-31,640,268,132,98,3453,1,0,1,0,2,13,3,6,7,11,1,0,1,1,1
C.Valenciana,2021-12-31,1359,519,261,160,6623,0,3,4,0,2,82,12,20,17,26,0,1,2,0,0
Cantabria,2021-12-30,243,111,66,51,924,0,0,0,0,1,7,2,8,7,5,0,0,1,0,0
Baleares,2021-12-30,434,162,91,32,2108,0,0,0,0,0,3,4,6,1,3,1,0,2,0,0
Asturias,2021-12-30,272,144,75,47,1524,0,0,0,3,3,5,8,8,4,16,0,1,0,0,0
no_ccaa,2021-12-30,46,26,16,8,255,0,0,0,0,0,3,1,1,2,1,0,1,0,1,0
Navarra,2021-12-30,736,267,169,115,3533,0,0,0,0,2,4,1,4,2,4,2,0,1,0,0
Murcia,2021-12-30,414,186,97,51,2140,0,0,1,0,3,10,7,3,6,3,1,3,0,0,0
Melilla,2021-12-30,16,14,8,6,129,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Madrid,2021-12-30,3469,1664,895,620,15776,0,0,1,1,2,60,28,57,46,82,1,3,10,5,0
La Rioja,2021-12-30,300,112,89,65,1151,0,0,0,1,1,2,2,3,5,4,1,1,0,1,0
Aragón,2021-12-30,1120,407,212,162,5023,0,0,0,1,3,16,8,11,3,21,0,2,1,1,0
Canarias,2021-12-30,707,314,154,100,3442,0,0,2,2,5,5,6,9,4,8,1,1,2,0,0
Ceuta,2021-12-30,23,11,3,4,131,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Galicia,2021-12-30,591,288,213,165,5148,0,1,0,1,3,20,6,8,7,15,3,1,2,1,2
País Vasco,2021-12-30,1732,669,342,268,8372,0,0,0,1,5,8,5,8,8,14,0,2,4,2,1
Extremadura,2021-12-30,491,211,132,102,2711,0,0,0,0,2,5,3,1,1,6,1,0,0,0,0
Cataluña,2021-12-30,3908,1518,865,578,16460,0,0,3,3,15,15,13,12,10,19,2,0,2,3,0
C.León,2021-12-30,1616,653,449,348,6762,0,0,0,0,3,6,10,9,7,22,0,3,0,0,0
Andalucía,2021-12-30,2674,1109,500,267,12583,2,1,1,2,4,34,29,24,25,29,0,3,4,1,0
C.Mancha,2021-12-30,1045,475,248,182,5579,0,0,1,0,2,17,6,8,10,20,3,0,2,2,0
C.Valenciana,2021-12-30,2476,1042,480,301,12723,0,1,1,6,8,108,27,23,18,33,1,2,4,0,0
Cantabria,2021-12-29,203,130,50,32,1011,0,0,0,0,2,8,1,6,2,3,0,0,2,1,0
Baleares,2021-12-29,450,171,74,33,2340,0,0,0,1,0,4,5,11,4,5,1,0,1,0,0
Asturias,2021-12-29,352,150,89,44,1669,0,0,0,1,3,9,2,7,10,9,1,0,1,0,0
no_ccaa,2021-12-29,69,20,11,4,271,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0
Navarra,2021-12-29,718,225,149,106,3688,0,0,0,0,1,3,3,5,6,5,0,0,0,0,0
Murcia,2021-12-29,414,187,92,52,2409,0,0,2,1,2,10,6,8,6,7,0,0,1,2,0
Melilla,2021-12-29,13,12,5,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,2021-12-29,3750,1803,916,646,17049,0,0,1,1,5,65,36,42,57,84,2,2,5,5,1
La Rioja,2021-12-29,276,114,67,62,1116,1,0,0,0,1,2,2,1,2,1,0,0,0,0,0
Aragón,2021-12-29,962,404,161,132,4594,0,1,0,1,8,11,1,12,7,18,1,0,1,0,2
Canarias,2021-12-29,778,380,172,76,3754,0,0,0,2,3,7,3,7,1,7,1,0,0,1,0
Ceuta,2021-12-29,21,8,1,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia,2021-12-29,662,310,194,130,5420,0,0,0,2,3,12,8,8,7,13,1,1,1,0,1
País Vasco,2021-12-29,1717,678,312,237,8339,0,0,3,2,4,11,12,8,10,11,0,1,3,0,0
Extremadura,2021-12-29,496,216,113,63,2787,0,0,0,0,0,6,5,6,5,5,0,0,0,0,0
Cataluña,2021-12-29,4161,1647,881,615,17993,0,0,5,1,11,9,5,10,8,21,1,2,2,1,0
C.León,2021-12-29,1586,575,411,303,6620,0,0,0,2,2,14,11,6,14,23,4,0,1,3,0
Andalucía,2021-12-29,2762,1115,465,288,12848,0,0,0,4,7,50,27,24,28,18,1,2,4,0,0
C.Mancha,2021-12-29,1032,425,207,155,5390,1,0,0,0,2,15,12,9,9,21,0,0,1,1,0
C.Valenciana,2021-12-29,2077,939,392,268,11584,1,1,2,0,11,81,23,23,20,28,0,1,6,0,0
Cantabria,2021-12-28,219,129,41,24,927,0,0,0,0,0,9,4,4,1,8,1,3,1,0,0
Baleares,2021-12-28,436,166,69,24,2421,0,0,0,0,0,2,5,2,2,8,0,3,0,0,0
Asturias,2021-12-28,304,135,61,47,1484,0,0,1,1,5,3,10,9,9,10,0,2,1,2,0
no_ccaa,2021-12-28,46,26,10,2,236,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0
Navarra,2021-12-28,626,218,127,103,3169,0,0,0,0,1,1,4,3,4,4,1,2,0,0,0
Murcia,2021-12-28,403,175,68,39,2270,0,1,1,3,1,12,6,12,5,8,2,3,2,0,0
Melilla,2021-12-28,17,8,2,2,120,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
Madrid,2021-12-28,3845,1878,902,588,17717,0,0,1,0,4,59,30,61,42,64,7,3,7,3,1
La Rioja,2021-12-28,299,114,83,63,1153,1,0,0,0,2,3,1,2,3,5,1,0,0,0,0
Aragón,2021-12-28,829,349,151,79,3764,1,0,2,0,3,8,11,17,6,13,0,1,1,0,2
Canarias,2021-12-28,777,343,144,71,3821,0,0,0,2,3,8,8,3,8,8,2,0,2,0,1
Ceuta,2021-12-28,23,4,5,2,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Galicia,2021-12-28,579,247,148,103,4640,0,0,0,2,3,16,8,1,10,25,0,1,1,3,0
País Vasco,2021-12-28,1136,458,194,146,5575,1,1,0,2,3,12,15,6,11,13,0,1,2,1,0
Extremadura,2021-12-28,577,185,99,67,2742,0,0,0,0,1,9,2,1,3,6,0,0,1,1,0
Cataluña,2021-12-28,4226,1691,782,521,18621,0,0,5,2,11,7,10,22,10,15,1,1,1,1,0
C.León,2021-12-28,1564,539,335,235,6362,0,0,0,0,6,14,11,7,13,17,1,0,1,3,0
Andalucía,2021-12-28,2497,976,397,225,11888,2,2,1,3,4,47,24,33,29,25,2,4,1,3,0
C.Mancha,2021-12-28,993,382,193,115,5305,0,0,0,0,1,14,9,12,10,13,1,0,1,0,0
C.Valenciana,2021-12-28,1666,761,302,173,8616,1,1,1,2,2,75,23,23,16,18,1,3,1,2,0
Cantabria,2021-12-27,147,81,38,20,634,0,0,0,0,0,4,3,4,2,5,0,0,1,0,0
Baleares,2021-12-27,417,197,53,21,2212,0,0,1,2,2,6,2,14,3,2,1,0,1,0,0
Asturias,2021-12-27,176,72,25,31,815,0,0,0,0,4,6,3,6,5,9,0,0,1,0,0
no_ccaa,2021-12-27,48,17,8,4,184,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
Navarra,2021-12-27,517,153,91,63,2577,0,0,1,1,2,0,3,3,3,2,0,0,1,0,0
Murcia,2021-12-27,363,145,59,44,1837,0,0,0,0,4,14,12,10,6,9,1,3,3,1,0
Melilla,2021-12-27,15,5,3,2,61,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
Madrid,2021-12-27,3967,1836,830,464,16812,0,0,4,2,5,59,30,41,36,70,7,2,6,2,1
La Rioja,2021-12-27,316,110,67,48,1169,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0
Aragón,2021-12-27,618,228,67,53,2714,0,0,1,1,1,15,8,7,8,20,2,0,1,1,1
Canarias,2021-12-27,632,265,128,49,3097,1,0,0,1,0,5,2,5,6,9,2,1,0,3,0
Ceuta,2021-12-27,15,8,0,0,108,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Galicia,2021-12-27,463,181,82,80,3637,0,1,0,1,1,13,5,6,10,10,0,2,1,0,1
País Vasco,2021-12-27,1014,383,141,100,4817,0,1,0,2,7,5,7,9,5,6,1,0,1,0,0
Extremadura,2021-12-27,404,161,66,36,2015,0,0,0,0,0,1,4,4,3,1,0,0,2,0,0
Cataluña,2021-12-27,4230,1481,658,439,17710,0,0,3,3,12,20,9,14,14,29,1,1,2,1,1
C.León,2021-12-27,1161,357,197,164,4603,0,0,1,2,8,8,8,11,17,24,1,1,5,2,1
Andalucía,2021-12-27,1939,688,282,172,8820,1,0,0,1,3,42,20,27,17,21,2,2,6,1,0
C.Mancha,2021-12-27,800,296,131,95,3756,1,0,1,0,1,9,10,15,5,11,0,3,2,0,1
C.Valenciana,2021-12-27,1396,682,216,146,7244,0,0,3,2,6,87,21,33,15,21,2,1,9,1,0
Cantabria,2021-12-26,76,45,6,4,365,0,1,0,0,0,4,2,3,1,2,0,1,0,0,0
Baleares,2021-12-26,190,57,26,6,898,0,0,0,1,4,5,4,2,3,1,0,2,0,0,0
Asturias,2021-12-26,187,74,27,30,811,0,0,0,0,2,7,3,6,4,5,0,1,0,0,0
no_ccaa,2021-12-26,30,19,8,4,145,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Navarra,2021-12-26,224,75,38,23,1317,0,0,3,0,0,3,3,1,0,2,0,0,0,0,0
Murcia,2021-12-26,117,55,18,10,640,0,0,1,0,1,8,8,7,1,2,1,1,0,0,0
Melilla,2021-12-26,3,2,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Madrid,2021-12-26,1382,579,219,145,6088,0,0,0,0,3,38,11,29,24,57,3,1,2,3,0
La Rioja,2021-12-26,165,55,31,24,659,0,0,0,0,0,2,0,2,3,3,0,0,1,0,0
Aragón,2021-12-26,309,127,32,26,1377,0,0,2,2,5,13,2,8,3,10,2,0,0,0,2
Canarias,2021-12-26,308,147,52,33,1423,1,0,0,0,2,9,6,5,9,9,1,2,4,1,0
Ceuta,2021-12-26,8,1,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Galicia,2021-12-26,286,104,54,40,2279,0,0,1,0,3,8,6,9,4,9,3,0,0,1,0
País Vasco,2021-12-26,639,274,96,63,3166,0,0,1,3,2,5,6,9,5,5,1,1,3,0,0
Extremadura,2021-12-26,251,95,22,21,1264,0,0,0,1,0,3,2,4,1,1,1,0,0,0,0
Cataluña,2021-12-26,1539,529,240,127,6987,1,1,3,4,8,6,6,14,9,15,1,0,2,0,0
C.León,2021-12-26,669,208,93,86,2645,0,0,0,1,4,5,8,13,7,17,1,3,1,2,0
Andalucía,2021-12-26,856,313,125,74,4105,0,0,0,2,4,36,16,24,14,18,4,0,6,1,0
C.Mancha,2021-12-26,466,170,70,56,2224,0,0,0,1,2,12,2,5,6,9,2,1,2,0,0
