ccaa,dose1_80,pop_80,perc_80,dose1_70,pop_70,perc_70,dose1_60,perc_60,dose1_50,pop_50,perc_50,dose1_25,pop_25,perc_25,dose1_18,pop_18,perc_18,dose1_16,pop_16,perc_16,dose1_total,pop_total,perc_total,fecha
"Andalucía","375.382","413.516","90,8%","21.914","916.147","3,4%","60.757","6,6%","133.942","1.265.021","10,6%","316.861","3.009.381","10,5%","24.984","625.846","4,0%","144","181.921","0,1%","933.984","7.062.213","13,2%","2021-03-30T22:00:00.000Z"
"Andalucía","391.814","413.516","94,8%","27.887","916.147","4,3%","70.060","7,6%","135.371","1.265.021","10,7%","318.461","3.009.381","10,6%","25.491","625.846","4,1%","152","181.921","0,1%","969.236","7.062.213","13,7%","2021-03-31T22:00:00.000Z"
"Andalucía","395.442","413.516","95,6%","30.501","916.147","4,7%","75.084","8,2%","135.587","1.265.021","10,7%","319.234","3.009.381","10,6%","25.655","625.846","4,1%","154","181.921","0,1%","981.657","7.062.213","13,9%","2021-04-02T22:00:00.000Z"
"Andalucía","396.168","413.516","95,8%","34.176","916.147","5,3%","83.158","9,1%","135.867","1.265.021","10,7%","319.567","3.009.381","10,6%","25.892","625.846","4,1%","154","181.921","0,1%","994.982","7.062.213","14,1%","2021-04-04T22:00:00.000Z"
"Andalucía","398.827","413.516","96,4%","47.996","916.147","7,4%","101.365","11,1%","137.105","1.265.021","10,8%","320.811","3.009.381","10,7%","26.233","625.846","4,2%","163","181.921","0,1%","1.032.500","7.062.213","14,6%","2021-04-05T22:00:00.000Z"
"Andalucía","402.738","413.516","97,4%","77.477","916.147","11,9%","124.728","13,6%","139.311","1.265.021","11,0%","322.353","3.009.381","10,7%","26.732","625.846","4,3%","184","181.921","0,1%","1.093.523","7.062.213","15,5%","2021-04-06T22:00:00.000Z"
"Andalucía","405.983","413.516","98,2%","115.348","916.147","17,7%","151.927","16,6%","141.864","1.265.021","11,2%","324.650","3.009.381","10,8%","27.991","625.846","4,5%","188","181.921","0,1%","1.167.951","7.062.213","16,5%","2021-04-07T22:00:00.000Z"
"Andalucía","409.048","413.516","98,9%","154.845","916.147","23,8%","181.090","19,8%","142.245","1.265.021","11,2%","325.249","3.009.381","10,8%","28.125","625.846","4,5%","200","181.921","0,1%","1.240.802","7.062.213","17,6%","2021-04-08T22:00:00.000Z"
"Andalucía","412.608","413.516","99,8%","192.640","916.147","29,6%","220.211","24,0%","143.989","1.265.021","11,4%","327.011","3.009.381","10,9%","28.346","625.846","4,5%","231","181.921","0,1%","1.325.036","7.062.213","18,8%","2021-04-11T22:00:00.000Z"
"Andalucía","414.158","413.516","100,2%","215.214","916.147","33,1%","236.265","25,8%","144.554","1.265.021","11,4%","327.582","3.009.381","10,9%","28.437","625.846","4,5%","241","181.921","0,1%","1.366.451","7.062.213","19,3%","2021-04-12T22:00:00.000Z"
"Andalucía","415.210","413.516","100,4%","245.253","916.147","37,7%","256.419","28,0%","145.229","1.265.021","11,5%","328.317","3.009.381","10,9%","28.534","625.846","4,6%","247","181.921","0,1%","1.419.209","7.062.213","20,1%","2021-04-13T22:00:00.000Z"
"Andalucía","416.457","413.516","100,7%","281.192","916.147","43,2%","280.594","30,6%","145.706","1.265.021","11,5%","329.018","3.009.381","10,9%","28.613","625.846","4,6%","257","181.921","0,1%","1.481.837","7.062.213","21,0%","2021-04-14T22:00:00.000Z"
"Andalucía","417.610","413.516","101,0%","316.930","916.147","48,7%","303.895","33,2%","146.346","1.265.021","11,6%","329.740","3.009.381","11,0%","28.695","625.846","4,6%","262","181.921","0,1%","1.543.478","7.062.213","21,9%","2021-04-15T22:00:00.000Z"
"Andalucía","418.968","413.516","101,3%","350.695","916.147","53,9%","329.791","36,0%","147.611","1.265.021","11,7%","330.905","3.009.381","11,0%","28.825","625.846","4,6%","275","181.921","0,2%","1.607.070","7.062.213","22,8%","2021-04-18T22:00:00.000Z"
"Andalucía","418.968","413.516","101,3%","350.695","916.147","53,9%","329.791","36,0%","147.611","1.265.021","11,7%","330.905","3.009.381","11,0%","28.825","625.846","4,6%","275","181.921","0,2%","1.607.070","7.062.213","22,8%","2021-04-19T22:00:00.000Z"
"Andalucía","420.295","413.516","101,6%","392.644","916.147","60,4%","356.041","38,9%","149.195","1.265.021","11,8%","332.516","3.009.381","11,0%","29.037","625.846","4,6%","293","181.921","0,2%","1.680.021","7.062.213","23,8%","2021-04-20T22:00:00.000Z"
"Andalucía","420.965","413.516","101,8%","419.276","916.147","64,5%","366.426","40,0%","149.699","1.265.021","11,8%","333.161","3.009.381","11,1%","29.116","625.846","4,7%","303","181.921","0,2%","1.718.946","7.062.213","24,3%","2021-04-21T22:00:00.000Z"
