ccaa,complete_80,pop_80,perc_80,complete_70,pop_70,perc_70,complete_60,perc_60,complete_50,pop_50,perc_50,complete_25,pop_25,perc_25,complete_18,pop_18,perc_18,complete_16,pop_16,perc_16,complete_total,pop_total,perc_total,fecha
"Andalucía","240.454","413.516","58,1%","12.788","916.147","2,0%","41.807","4,6%","70.600","1.265.021","5,6%","130.009","3.009.381","4,3%","11.689","625.846","1,9%","83","181.921","0,0%","507.430","7.062.213","7,2%","2021-03-30T22:00:00.000Z"
"Andalucía","246.229","413.516","59,5%","13.404","916.147","2,1%","41.934","4,6%","70.731","1.265.021","5,6%","130.472","3.009.381","4,3%","11.779","625.846","1,9%","83","181.921","0,0%","514.632","7.062.213","7,3%","2021-03-31T22:00:00.000Z"
"Andalucía","253.088","413.516","61,2%","13.474","916.147","2,1%","42.015","4,6%","70.837","1.265.021","5,6%","130.605","3.009.381","4,3%","11.808","625.846","1,9%","83","181.921","0,0%","521.910","7.062.213","7,4%","2021-04-02T22:00:00.000Z"
"Andalucía","253.172","413.516","61,2%","13.475","916.147","2,1%","42.029","4,6%","70.857","1.265.021","5,6%","130.617","3.009.381","4,3%","11.808","625.846","1,9%","83","181.921","0,0%","522.041","7.062.213","7,4%","2021-04-04T22:00:00.000Z"
"Andalucía","255.247","413.516","61,7%","13.621","916.147","2,1%","42.132","4,6%","70.999","1.265.021","5,6%","131.203","3.009.381","4,4%","11.875","625.846","1,9%","83","181.921","0,0%","525.160","7.062.213","7,4%","2021-04-05T22:00:00.000Z"
"Andalucía","257.816","413.516","62,3%","13.815","916.147","2,1%","42.265","4,6%","71.156","1.265.021","5,6%","131.604","3.009.381","4,4%","11.925","625.846","1,9%","85","181.921","0,0%","528.666","7.062.213","7,5%","2021-04-06T22:00:00.000Z"
"Andalucía","259.718","413.516","62,8%","14.063","916.147","2,2%","42.363","4,6%","71.345","1.265.021","5,6%","131.966","3.009.381","4,4%","11.971","625.846","1,9%","87","181.921","0,0%","531.513","7.062.213","7,5%","2021-04-07T22:00:00.000Z"
"Andalucía","263.231","413.516","63,7%","14.313","916.147","2,2%","42.510","4,6%","71.502","1.265.021","5,7%","132.280","3.009.381","4,4%","12.013","625.846","1,9%","88","181.921","0,0%","535.937","7.062.213","7,6%","2021-04-08T22:00:00.000Z"
"Andalucía","266.694","413.516","64,5%","14.552","916.147","2,2%","42.633","4,7%","71.599","1.265.021","5,7%","132.525","3.009.381","4,4%","12.064","625.846","1,9%","97","181.921","0,1%","540.164","7.062.213","7,6%","2021-04-11T22:00:00.000Z"
"Andalucía","269.657","413.516","65,2%","14.714","916.147","2,3%","42.744","4,7%","71.725","1.265.021","5,7%","132.706","3.009.381","4,4%","12.091","625.846","1,9%","97","181.921","0,1%","543.734","7.062.213","7,7%","2021-04-12T22:00:00.000Z"
"Andalucía","275.864","413.516","66,7%","14.981","916.147","2,3%","42.932","4,7%","71.893","1.265.021","5,7%","133.056","3.009.381","4,4%","12.146","625.846","1,9%","102","181.921","0,1%","550.974","7.062.213","7,8%","2021-04-13T22:00:00.000Z"
"Andalucía","283.460","413.516","68,5%","15.408","916.147","2,4%","43.121","4,7%","72.093","1.265.021","5,7%","133.587","3.009.381","4,4%","12.230","625.846","2,0%","108","181.921","0,1%","560.007","7.062.213","7,9%","2021-04-14T22:00:00.000Z"
"Andalucía","293.817","413.516","71,1%","16.350","916.147","2,5%","43.387","4,7%","72.459","1.265.021","5,7%","134.628","3.009.381","4,5%","12.394","625.846","2,0%","116","181.921","0,1%","573.151","7.062.213","8,1%","2021-04-15T22:00:00.000Z"
"Andalucía","309.542","413.516","74,9%","17.710","916.147","2,7%","43.680","4,8%","72.852","1.265.021","5,8%","135.690","3.009.381","4,5%","12.578","625.846","2,0%","121","181.921","0,1%","592.173","7.062.213","8,4%","2021-04-18T22:00:00.000Z"
"Andalucía","309.542","413.516","74,9%","17.710","916.147","2,7%","43.680","4,8%","72.852","1.265.021","5,8%","135.690","3.009.381","4,5%","12.578","625.846","2,0%","121","181.921","0,1%","592.173","7.062.213","8,4%","2021-04-19T22:00:00.000Z"
"Andalucía","352.659","413.516","85,3%","20.246","916.147","3,1%","44.266","4,8%","73.427","1.265.021","5,8%","136.939","3.009.381","4,6%","12.798","625.846","2,0%","136","181.921","0,1%","640.471","7.062.213","9,1%","2021-04-20T22:00:00.000Z"
"Andalucía","375.050","413.516","90,7%","24.024","916.147","3,7%","44.612","4,9%","73.743","1.265.021","5,8%","137.500","3.009.381","4,6%","12.899","625.846","2,1%","142","181.921","0,1%","667.970","7.062.213","9,5%","2021-04-21T22:00:00.000Z"
"Andalucía","382.779","413.516","92,6%","27.482","916.147","4,2%","44.762","4,9%","73.892","1.265.021","5,8%","137.804","3.009.381","4,6%","12.973","625.846","2,1%","147","181.921","0,1%","679.839","7.062.213","9,6%","2021-04-22T22:00:00.000Z"
"Andalucía","388.400","413.516","93,9%","32.331","916.147","5,0%","44.846","4,9%","73.989","1.265.021","5,8%","138.031","3.009.381","4,6%","13.012","625.846","2,1%","151","181.921","0,1%","690.760","7.062.213","9,8%","2021-04-25T22:00:00.000Z"
"Andalucía","392.178","413.516","94,8%","45.824","916.147","7,0%","44.964","4,9%","74.084","1.265.021","5,9%","138.233","3.009.381","4,6%","13.059","625.846","2,1%","161","181.921","0,1%","708.503","7.062.213","10,0%","2021-04-26T22:00:00.000Z"
"Andalucía","396.674","413.516","95,9%","74.206","916.147","11,4%","45.312","4,9%","74.340","1.265.021","5,9%","138.602","3.009.381","4,6%","13.184","625.846","2,1%","179","181.921","0,1%","742.497","7.062.213","10,5%","2021-04-27T22:00:00.000Z"
"Andalucía","400.105","413.516","96,8%","123.720","916.147","19,0%","49.312","5,4%","74.561","1.265.021","5,9%","138.996","3.009.381","4,6%","13.284","625.846","2,1%","182","181.921","0,1%","800.160","7.062.213","11,3%","2021-04-28T22:00:00.000Z"
"Andalucía","401.724","413.516","97,1%","150.527","916.147","23,1%","49.835","5,4%","74.721","1.265.021","5,9%","139.235","3.009.381","4,6%","13.312","625.846","2,1%","182","181.921","0,1%","829.536","7.062.213","11,7%","2021-04-29T22:00:00.000Z"
"Andalucía","406.884","413.516","98,4%","202.590","916.147","31,1%","50.806","5,5%","75.368","1.265.021","6,0%","140.286","3.009.381","4,7%","13.584","625.846","2,2%","218","181.921","0,1%","889.736","7.062.213","12,6%","2021-05-02T22:00:00.000Z"
"Andalucía","408.335","413.516","98,7%","224.106","916.147","34,5%","52.664","5,7%","75.658","1.265.021","6,0%","140.981","3.009.381","4,7%","13.662","625.846","2,2%","226","181.921","0,1%","915.632","7.062.213","13,0%","2021-05-03T22:00:00.000Z"
"Andalucía","409.333","413.516","99,0%","254.280","916.147","39,1%","52.974","5,8%","75.987","1.265.021","6,0%","141.930","3.009.381","4,7%","13.756","625.846","2,2%","233","181.921","0,1%","948.493","7.062.213","13,4%","2021-05-04T22:00:00.000Z"
"Andalucía","410.730","413.516","99,3%","290.960","916.147","44,7%","53.692","5,9%","76.789","1.265.021","6,1%","143.998","3.009.381","4,8%","13.914","625.846","2,2%","245","181.921","0,1%","990.328","7.062.213","14,0%","2021-05-05T22:00:00.000Z"
"Andalucía","411.864","413.516","99,6%","326.028","916.147","50,1%","54.551","6,0%","77.516","1.265.021","6,1%","145.481","3.009.381","4,8%","14.065","625.846","2,2%","252","181.921","0,1%","1.029.757","7.062.213","14,6%","2021-05-06T22:00:00.000Z"
"Andalucía","413.099","413.516","99,9%","359.477","916.147","55,3%","55.481","6,1%","79.181","1.265.021","6,3%","147.531","3.009.381","4,9%","14.225","625.846","2,3%","265","181.921","0,1%","1.069.259","7.062.213","15,1%","2021-05-09T22:00:00.000Z"
"Andalucía","413.544","413.516","100,0%","379.332","916.147","58,3%","56.144","6,1%","80.516","1.265.021","6,4%","149.243","3.009.381","5,0%","14.396","625.846","2,3%","269","181.921","0,1%","1.093.444","7.062.213","15,5%","2021-05-10T22:00:00.000Z"
