ccaa,pfizer,moderna,astrazeneca,entregadas,administradas,admin_entregadas,dose1,dose2,dose1_above80,pop_above80,dose1_pct_above80,dose1_70to79,pop_70to79,dose1_pct_70to79,dose1_60to69,pop_60to69,dose1_pct_60to69,dose1_50to59,pop_50to59,dose1_pct_50to59,dose1_total,pop_total,dose1_perc_total,pct_under50,pop_under50,dose1_under50,dose2_above80,dose2_pct_above80,dose2_70to79,dose2_pct_70to79,dose2_60to69,dose2_pct_60to69,dose2_50to59,dose2_pct_50to59,perc_25,perc_18,perc_16,dose2_total,dose2_perc_total,fecha,hasta,dose2_under50
"Andalucía",1283580,168000,564800,2016380,1865200,92.5,1325036,540164,412608,413516,99.8,192640,650381,29.6,220211,916147,24,143989,1265021,11.4,1325036,7062213,18.8,15.5,3817148,355588,266694,64.5,14552,2.2,42633,4.7,71599,5.7,4.4,1.9,0.1,540164,7.6,"2021-04-11T22:00:00.000Z",,144686
"Aragón",250695,35300,88700,374695,312544,83.4,210392,102152,96328,98807,97.5,9430,118955,7.9,22613,156367,14.5,26325,198266,13.3,210392,1132764,18.6,17.700000000000003,560369,55696,51967,52.6,3306,2.8,9539,6.1,14109,7.1,4.9,1.6,0.1,102152,9,"2021-04-11T22:00:00.000Z",,23231
"Asturias",241925,32700,68000,342625,301677,88,204454,97223,85038,87826,96.8,29644,109249,27.1,35287,149652,23.6,20935,162645,12.9,204454,901209,22.7,15.2,391837,33550,46107,52.5,3729,3.4,10102,6.8,13720,8.4,6.6,4.4,0.2,97223,10.8,"2021-04-11T22:00:00.000Z",,23565
"Baleares",140760,18000,78000,236760,218353,92.2,161442,56911,46717,49542,94.3,13864,80516,17.2,34296,117231,29.3,20439,165797,12.3,161442,986279,16.4,13.499999999999998,573193,46126,23105,46.6,2226,2.8,5023,4.3,7667,4.6,3.8,1.5,0.1,56911,5.8,"2021-04-11T22:00:00.000Z",,18890
"Canarias",276090,35800,145200,457090,387610,84.8,272256,115354,75703,90236,83.9,29882,154531,19.3,66500,235092,28.3,28078,350512,8,272256,1871033,14.6,11.6,1040662,72093,37645,41.7,13795,8.9,9527,4.1,17271,4.9,4.2,1.5,0,115354,6.2,"2021-04-11T22:00:00.000Z",,37116
"Cantabria",115395,15300,38800,169495,140961,83.2,95615,45346,38221,41042,93.1,12466,53066,23.5,9834,77345,12.7,11107,89964,12.3,95615,501384,19.1,16,239967,23987,23155,56.4,1694,3.2,3755,4.9,5582,6.2,5.4,1.8,0,45346,9,"2021-04-11T22:00:00.000Z",,11160
"Cataluña",1220930,168400,519100,1908430,1733884,90.9,1275968,457916,422392,447196,94.5,119350,635292,18.8,279798,837584,33.4,129891,1091780,11.9,1275968,6531658,19.5,16.8,3519806,324537,168413,37.7,28417,4.5,49335,5.9,67667,6.2,4.5,2.9,0.1,457916,7,"2021-04-11T22:00:00.000Z",,144084
"Com. Valenciana",711550,96800,337500,1145850,1035842,90.4,751735,284107,276732,276531,100.1,61257,437862,14,107558,580728,18.5,89690,752334,11.9,751735,4269305,17.6,16.300000000000004,2221850,216498,143190,51.8,10440,2.4,23516,4,33728,4.5,3.8,1.5,0.1,284107,6.7,"2021-04-11T22:00:00.000Z",,73233
"Extremadura",211265,28100,70900,310265,299027,96.4,212791,86236,75009,76005,98.7,28170,91876,30.7,42717,125297,34.1,22746,169216,13.4,212791,911213,23.4,15,448819,44149,41894,55.1,3160,3.4,7693,6.1,12849,7.6,5.6,1.2,0.2,86236,9.5,"2021-04-11T22:00:00.000Z",,20640
"Galicia",532465,73600,180300,786365,732686,93.2,546630,186056,216624,234302,92.5,85699,289762,29.6,82731,346927,23.8,62780,405889,15.5,546630,2362643,23.1,13.899999999999999,1085763,98796,101816,43.5,4597,1.6,16535,4.8,23375,5.8,4.3,1,0,186056,7.9,"2021-04-11T22:00:00.000Z",,39733
"La Rioja",59735,7800,21300,88835,82070,92.4,57216,24854,21989,22207,99,1499,28125,5.3,13092,37718,34.7,6536,47664,13.7,57216,270788,21.1,18,135074,14100,13477,60.7,659,2.3,2335,6.2,3330,7,4.3,1.8,0,24854,9.2,"2021-04-11T22:00:00.000Z",,5053
"Madrid",996765,136100,452500,1585365,1419575,89.5,987950,431625,316942,364122,87,58838,526081,11.2,216415,703323,30.8,105125,972783,10.8,987950,5695623,17.3,15.399999999999999,3129314,290630,217546,59.7,8595,1.6,30611,4.4,51139,5.3,4.4,2.7,0,431625,7.6,"2021-04-11T22:00:00.000Z",,123734
"Murcia",228875,29400,100800,359075,285613,79.5,186207,99406,66136,69771,94.8,8083,102899,7.9,21571,146909,14.7,25136,213256,11.8,186207,1237479,15,16.7,704644,65281,45265,64.9,2735,2.7,7484,5.1,13835,6.5,5,2.1,0.3,99406,8,"2021-04-11T22:00:00.000Z",,30087
"Navarra",113055,15400,44100,172555,157728,91.4,109410,48318,38989,41166,94.7,9872,55792,17.7,18240,73844,24.7,13262,96694,13.7,109410,552935,19.8,18.3,285439,29047,21740,52.8,1768,3.2,4042,5.5,7541,7.8,5.5,1.9,0,48318,8.7,"2021-04-11T22:00:00.000Z",,13227
"País Vasco",384750,52900,148200,585850,535817,91.5,400896,134921,145883,157950,92.4,27851,213081,13.1,76721,280119,27.4,48757,339977,14.3,400896,1898123,21.1,20.6,906996,101684,60159,38.1,3633,1.7,12636,4.5,21514,6.3,4.7,2.1,0,134921,7.1,"2021-04-11T22:00:00.000Z",,36979
"Ceuta",9000,1300,5800,16100,15799,98.1,12157,3642,2145,2605,82.3,2146,4318,49.7,2267,7857,28.9,1787,11556,15.5,12157,66158,18.4,15.399999999999999,39822,3812,1584,60.8,373,8.6,313,4,514,4.4,2.7,0.6,0,3642,5.5,"2021-04-11T22:00:00.000Z",,858
"Melilla",9000,1200,5800,16000,13690,85.6,10259,3431,1607,2349,68.4,2180,3748,58.2,1520,7827,19.4,1524,11299,13.5,10259,66178,15.5,13.3,40955,3428,1310,55.8,472,12.6,294,3.8,476,4.2,2.7,0.7,0.3,3431,5.2,"2021-04-11T22:00:00.000Z",,879
"Fuerzas Armadas",19500,0,66100,85600,68476,80,63151,5325,3,null,null,4,null,null,2128,null,null,7689,null,null,63151,null,null,null,null,53327,1,null,4,null,471,null,1080,null,null,null,null,5325,null,"2021-04-11T22:00:00.000Z",,3769
