ccaa,fecha,cases_under50,cases_50to59,cases_60to69,cases_70to79,cases_above80,deaths_under50,deaths_50to59,deaths_60to69,deaths_70to79,deaths_above80,hosp_under50,hosp_50to59,hosp_60to69,hosp_70to79,hosp_above80,uci_under50,uci_50to59,uci_60to69,uci_70to79,uci_above80
"Com. Valenciana","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Castilla-La Mancha","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalucía","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Castilla y León","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cataluña","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Extremadura","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"País Vasco","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galicia","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ceuta","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canarias","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragón","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Rioja","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madrid","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Melilla","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murcia","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarra","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no_ccaa","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baleares","2020-01-01T00:00:00.000Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
